iid;id;gender;idg;condtn;wave;round;position;positin1;order;partner;pid;match;int_corr;samerace;age_o;race_o;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;dec_o;attr_o;sinc_o;intel_o;fun_o;amb_o;shar_o;like_o;prob_o;met_o;age;field;field_cd;undergra;mn_sat;tuition;race;imprace;imprelig;from;zipcode;income;goal;date;go_out;career;career_c;sports;tvsports;exercise;dining;museums;art;hiking;gaming;clubbing;reading;tv;theater;movies;concerts;music;shopping;yoga;exphappy;expnum;attr1_1;sinc1_1;intel1_1;fun1_1;amb1_1;shar1_1;attr4_1;sinc4_1;intel4_1;fun4_1;amb4_1;shar4_1;attr2_1;sinc2_1;intel2_1;fun2_1;amb2_1;shar2_1;attr3_1;sinc3_1;fun3_1;intel3_1;amb3_1;attr5_1;sinc5_1;intel5_1;fun5_1;amb5_1;dec;attr;sinc;intel;fun;amb;shar;like;prob;met;match_es;attr1_s;sinc1_s;intel1_s;fun1_s;amb1_s;shar1_s;attr3_s;sinc3_s;intel3_s;fun3_s;amb3_s;satis_2;length;numdat_2;attr7_2;sinc7_2;intel7_2;fun7_2;amb7_2;shar7_2;attr1_2;sinc1_2;intel1_2;fun1_2;amb1_2;shar1_2;attr4_2;sinc4_2;intel4_2;fun4_2;amb4_2;shar4_2;attr2_2;sinc2_2;intel2_2;fun2_2;amb2_2;shar2_2;attr3_2;sinc3_2;intel3_2;fun3_2;amb3_2;attr5_2;sinc5_2;intel5_2;fun5_2;amb5_2;you_call;them_cal;date_3;numdat_3;num_in_3;attr1_3;sinc1_3;intel1_3;fun1_3;amb1_3;shar1_3;attr7_3;sinc7_3;intel7_3;fun7_3;amb7_3;shar7_3;attr4_3;sinc4_3;intel4_3;fun4_3;amb4_3;shar4_3;attr2_3;sinc2_3;intel2_3;fun2_3;amb2_3;shar2_3;attr3_3;sinc3_3;intel3_3;fun3_3;amb3_3;attr5_3;sinc5_3;intel5_3;fun5_3;amb5_3
1;1;0;1;1;1;10;7;0;4;1;11;0;0.14;0;27;2;35;20;20;20;0;5;0;670;740;800;720;800;710;620;570;190;21;Law;1;0;0;0;4;2;4;Chicago;60521;69 487.00;2;7;1;lawyer;0;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;3;2;15;20;20;15;15;15;0;0;0;0;0;0;35;20;15;20;5;5;6;8;8;8;7;0;0;0;0;0;1;6;9;7;7;6;5;7;6;2;4;0;0;0;0;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0;19.44;16.67;13.89;22.22;11.11;16.67;0;0;0;0;0;0;0;0;0;0;0;0;6;7;8;7;6;0;0;0;0;0;1;1;0;0;0;15;20;20;15;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;7;7;7;0;0;0;0;0
2;2;0;3;1;1;10;3;0;10;1;11;0;0.29;1;27;2;35;20;20;20;0;5;0;770;710;790;750;750;650;760;550;190;24;law;1;0;0;0;2;2;5;Alabama;35223;65 929.00;1;5;1;law;0;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;4;5;45;5;25;20;0;5;0;0;0;0;0;0;65;0;10;25;0;0;7;5;10;8;3;0;0;0;0;0;0;5;7;8;4;6;3;6;4;2;3;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;18.92;18.92;21.62;27.03;5.41;8.11;0;0;0;0;0;0;0;0;0;0;0;0;7;6;8;9;4;0;0;0;0;0;0;0;0;0;0;30;5;40;15;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;9;9;4;0;0;0;0;0
3;3;0;5;1;1;10;9;0;6;1;11;0;-0.24;1;27;2;35;20;20;20;0;5;0;650;710;730;620;640;540;600;450;190;25;Economics;2;0;0;0;2;8;4;Connecticut;6268;0;6;3;1;Economist;0;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;4;2;35;10;35;10;10;0;0;0;0;0;0;0;50;0;20;30;0;0;8;9;8;9;8;0;0;0;0;0;0;7;9;10;7;8;9;8;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;0;7;1;1;10;6;0;3;1;11;0;-0.18;1;27;2;35;20;20;20;0;5;0;700;710;770;750;770;720;730;650;160;23;Law;1;0;0;0;2;1;1;Texas;77096;37 754.00;1;5;1;lawyer/policy work;1;1;1;6;7;6;7;7;5;7;7;7;9;7;8;7;1;8;1;2;20;20;20;20;10;10;0;0;0;0;0;0;30;10;15;30;5;10;7;8;9;7;8;0;0;0;0;0;0;4;10;8;5;8;7;6;7;2;2;0;0;0;0;0;0;0;0;0;0;0;4;3;2;0;0;0;0;0;0;24.14;13.79;20.69;27.59;10.34;3.45;0;0;0;0;0;0;0;0;0;0;0;0;6;8;7;8;6;0;0;0;0;0;0;0;0;0;0;20;20;20;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;6;8;5;0;0;0;0;0
5;5;0;9;1;1;10;4;0;1;1;11;0;-0.43;1;27;2;35;20;20;20;0;5;0;530;770;760;720;780;620;610;650;170;21;Law;1;0;0;0;2;8;1;Bowdoin College;94022;86 340.00;2;4;1;lawyer;1;7;4;7;7;6;8;6;6;8;6;8;6;6;3;7;8;3;7;10;20;5;25;25;10;15;0;0;0;0;0;0;50;10;10;20;5;5;6;3;6;10;8;0;0;0;0;0;0;5;8;8;2;2;2;7;5;2;0;0;0;0;0;0;0;0;0;0;0;0;7;2;2;0;0;0;0;0;0;15.79;13.16;18.42;15.79;15.79;21.05;0;0;0;0;0;0;0;0;0;0;0;0;6;6;9;9;9;0;0;0;0;0;0;0;0;0;0;30;10;20;20;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;10;6;10;0;0;0;0;0
6;6;0;11;1;1;10;8;0;5;1;11;0;0.33;0;27;2;35;20;20;20;0;5;0;680;780;860;700;800;630;680;550;180;23;law;1;0;0;0;4;1;1;MD;20878;60 304.00;1;3;1;lawyer;1;10;8;9;7;8;7;9;2;6;9;2;5;6;6;4;1;1;4;3;10;25;20;25;5;15;0;0;0;0;0;0;25;10;10;25;10;20;5;7;8;9;5;0;0;0;0;0;1;6;9;7;6;7;6;6;6;2;4;0;0;0;0;0;0;0;0;0;0;0;3;3;2;0;0;0;0;0;0;10.26;25.64;20.51;23.08;2.56;17.95;0;0;0;0;0;0;0;0;0;0;0;0;5;8;9;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;7;0;13;1;1;10;5;0;2;1;11;0;0.19;0;27;2;35;20;20;20;0;5;0;790;760;820;700;750;670;760;610;160;22;Law;1;0;0;0;4;2;4;Southern California;91360;54 620.00;1;5;1;Law;1;5;3;4;10;10;10;2;3;8;8;8;10;10;10;10;10;10;7;3;15;15;25;20;15;10;0;0;0;0;0;0;30;12;13;25;10;10;6;6;5;7;7;0;0;0;0;0;0;4;8;8;5;7;4;7;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;8;0;15;1;1;10;10;0;7;1;11;0;-0.03;1;27;2;35;20;20;20;0;5;0;820;780;810;790;670;680;770;630;200;25;Masters in Public Administration;13;0;0;0;2;1;1;London, England;0;0;1;5;1;Journalist;6;2;2;1;10;9;9;3;2;10;8;10;9;9;6;6;8;6;6;10;9.09;18.18;27.27;18.18;18.18;9.09;0;0;0;0;0;0;30;10;20;30;5;5;7;4;8;8;8;0;0;0;0;0;1;5;8;7;4;7;5;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;9;0;17;1;1;10;1;0;8;1;11;0;0.19;0;27;2;35;20;20;20;0;5;0;700;740;750;780;690;630;710;590;200;26;Masters in Public Administration;13;0;0;0;6;1;1;Palm Springs, California;0;0;1;4;1;Congresswoman, and comedian;9;4;3;1;8;6;7;2;2;10;8;8;10;10;9;9;8;3;6;15;20;10;20;30;10;10;0;0;0;0;0;0;30;20;10;20;10;10;7;6;10;7;7;0;0;0;0;0;1;8;10;9;8;7;6;5;5;2;1;0;0;0;0;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0;13.33;17.78;22.22;22.22;13.33;11.11;0;0;0;0;0;0;0;0;0;0;0;0;7;10;8;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;10;0;19;1;1;10;2;0;9;1;11;0;0.3;1;27;2;35;20;20;20;0;5;0;570;700;640;640;620;520;600;600;190;26;Masters of Social Work&Education;13;0;0;0;2;4;4;94115;19335;48 652.00;2;6;1;To create early childhood intervention programs;9;9;9;9;7;6;6;7;1;7;8;5;6;7;7;8;7;7;7;10;15;15;15;40;10;5;0;0;0;0;0;0;45;10;15;20;5;5;6;8;10;6;9;0;0;0;0;0;0;6;10;10;6;6;0;6;3;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;35.71;3.57;10.71;28.57;3.57;17.86;0;0;0;0;0;0;0;0;0;0;0;0;10;5;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
