iid;id;gender;idg;condtn;wave;round;position;positin1;order;partner;pid;match;int_corr;samerace;age_o;race_o;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;dec_o;attr_o;sinc_o;intel_o;fun_o;amb_o;shar_o;like_o;prob_o;met_o;age;field;field_cd;undergra;mn_sat;tuition;race;imprace;imprelig;from;zipcode;income;goal;date;go_out;career;career_c;sports;tvsports;exercise;dining;museums;art;hiking;gaming;clubbing;reading;tv;theater;movies;concerts;music;shopping;yoga;exphappy;expnum;attr1_1;sinc1_1;intel1_1;fun1_1;amb1_1;shar1_1;attr4_1;sinc4_1;intel4_1;fun4_1;amb4_1;shar4_1;attr2_1;sinc2_1;intel2_1;fun2_1;amb2_1;shar2_1;attr3_1;sinc3_1;fun3_1;intel3_1;amb3_1;attr5_1;sinc5_1;intel5_1;fun5_1;amb5_1;dec;attr;sinc;intel;fun;amb;shar;like;prob;met;match_es;attr1_s;sinc1_s;intel1_s;fun1_s;amb1_s;shar1_s;attr3_s;sinc3_s;intel3_s;fun3_s;amb3_s;satis_2;length;numdat_2;attr7_2;sinc7_2;intel7_2;fun7_2;amb7_2;shar7_2;attr1_2;sinc1_2;intel1_2;fun1_2;amb1_2;shar1_2;attr4_2;sinc4_2;intel4_2;fun4_2;amb4_2;shar4_2;attr2_2;sinc2_2;intel2_2;fun2_2;amb2_2;shar2_2;attr3_2;sinc3_2;intel3_2;fun3_2;amb3_2;attr5_2;sinc5_2;intel5_2;fun5_2;amb5_2;you_call;them_cal;date_3;numdat_3;num_in_3;attr1_3;sinc1_3;intel1_3;fun1_3;amb1_3;shar1_3;attr7_3;sinc7_3;intel7_3;fun7_3;amb7_3;shar7_3;attr4_3;sinc4_3;intel4_3;fun4_3;amb4_3;shar4_3;attr2_3;sinc2_3;intel2_3;fun2_3;amb2_3;shar2_3;attr3_3;sinc3_3;intel3_3;fun3_3;amb3_3;attr5_3;sinc5_3;intel5_3;fun5_3;amb5_3
1;1;0;1;1;1;10;7;0;5.5;5.5;15.5;0.4;0;0.1;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.5;6.7;7.4;8;7.2;8;7.1;6.2;5.7;1.9;21;0;1;0;0;0;4;2;4;0;0;0;2;7;1;0;0;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;3;2;15;20;20;15;15;15;0;0;0;0;0;0;35;20;15;20;5;5;6;8;8;8;7;0;0;0;0;0;0.8;5.7;7.3;7.3;6.8;6.3;6.5;6.5;5.3;1.6;4;0;0;0;0;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;8;7;6;0;0;0;0;0;1;1;0;0;0;15;20;20;15;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;7;7;7;0;0;0;0;0
2;2;0;3;1;1;10;3;0;5.5;5.5;15.5;0.2;0;0.8;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.6;7.7;7.1;7.9;7.5;7.5;6.5;7.6;5.5;1.9;24;0;1;0;0;0;2;2;5;0;0;0;1;5;1;0;0;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;4;5;45;5;25;20;0;5;0;0;0;0;0;0;65;0;10;25;0;0;7;5;10;8;3;0;0;0;0;0;0.4;6.4;7;7.7;6.1;6.5;5.7;6.6;5.9;1.9;3;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;8;9;4;0;0;0;0;0;0;0;0;0;0;30;5;40;15;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;9;9;4;0;0;0;0;0
3;3;0;5;1;1;10;9;0;5.5;5.5;15.5;0;0;0.8;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.5;6.5;7.1;7.3;6.2;6.4;5.4;6;4.5;1.9;25;0;2;0;0;0;2;8;4;0;0;0;6;3;1;0;0;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;4;2;35;10;35;10;10;0;0;0;0;0;0;0;50;0;20;30;0;0;8;9;8;9;8;0;0;0;0;0;0;8.1;8.6;9.4;7.7;8.8;8.1;8.2;5.6;1.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;0;7;1;1;10;6;0;5.5;5.5;15.5;0.2;0;0.8;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.6;7;7.1;7.7;7.5;7.7;7.2;7.3;6.5;1.6;23;0;1;0;0;0;2;1;1;0;0;0;1;5;1;0;1;1;1;6;7;6;7;7;5;7;7;7;9;7;8;7;1;8;1;2;20;20;20;20;10;10;0;0;0;0;0;0;30;10;15;30;5;10;7;8;9;7;8;0;0;0;0;0;0.3;6.4;8.9;8.6;7.8;7.8;7.1;6.6;5.2;1.8;2;0;0;0;0;0;0;0;0;0;0;0;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;7;8;6;0;0;0;0;0;0;0;0;0;0;20;20;20;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;6;8;5;0;0;0;0;0
5;5;0;9;1;1;10;4;0;5.5;5.5;15.5;0.2;0;0.8;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.3;5.3;7.7;7.6;7.2;7.8;6.2;6.1;6.5;1.7;21;0;1;0;0;0;2;8;1;0;0;0;2;4;1;0;1;7;4;7;7;6;8;6;6;8;6;8;6;6;3;7;8;3;7;10;20;5;25;25;10;15;0;0;0;0;0;0;50;10;10;20;5;5;6;3;6;10;8;0;0;0;0;0;0.6;6.3;6;7;6;5.6;6.2;7.2;3.7;1.7;0;0;0;0;0;0;0;0;0;0;0;0;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;9;9;9;0;0;0;0;0;0;0;0;0;0;30;10;20;20;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;10;6;10;0;0;0;0;0
6;6;0;11;1;1;10;8;0;5.5;5.5;15.5;0.2;0;0.1;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.5;6.8;7.8;8.6;7;8;6.3;6.8;5.5;1.8;23;0;1;0;0;0;4;1;1;0;0;0;1;3;1;0;1;10;8;9;7;8;7;9;2;6;9;2;5;6;6;4;1;1;4;3;10;25;20;25;5;15;0;0;0;0;0;0;25;10;10;25;10;20;5;7;8;9;5;0;0;0;0;0;0.6;5.9;7.3;8;6;5.2;4.4;6.5;4.9;1.8;4;0;0;0;0;0;0;0;0;0;0;0;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;9;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;7;0;13;1;1;10;5;0;5.5;5.5;15.5;0.2;0;0.1;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.7;7.9;7.6;8.2;7;7.5;6.7;7.6;6.1;1.6;22;0;1;0;0;0;4;2;4;0;0;0;1;5;1;0;1;5;3;4;10;10;10;2;3;8;8;8;10;10;10;10;10;10;7;3;15;15;25;20;15;10;0;0;0;0;0;0;30;12;13;25;10;10;6;6;5;7;7;0;0;0;0;0;0.4;5.4;6.9;7.7;5.8;7.6;5.5;6.5;5.7;1.6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;8;0;15;1;1;10;10;0;5.5;5.5;15.5;0.8;0;0.8;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.8;8.2;7.8;8.1;7.9;6.7;6.8;7.7;6.3;2;25;0;13;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;9;0;17;1;1;10;1;0;5.5;5.5;15.5;0.7;0;0;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.7;7;7.4;7.5;7.8;6.9;6.3;7.1;5.9;2;26;0;13;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;10;0;19;1;1;10;2;0;5.5;5.5;15.5;0.2;0;0.8;25.2;2.3;40.9;6.8;15.4;15.8;3.4;7.7;0.4;5.7;7;6.4;6.4;6.2;5.2;6;6;1.9;26;0;13;0;0;0;2;4;4;94115;0;0;2;6;1;0;9;9;9;9;7;6;6;7;1;7;8;5;6;7;7;8;7;7;7;10;15;15;15;40;10;5;0;0;0;0;0;0;45;10;15;20;5;5;6;8;10;6;9;0;0;0;0;0;0.4;6.1;8.2;7.5;6.7;6.7;1.7;6.6;3.8;1.8;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
